Pablo Javier Zabaleta Girod,31,Argentina,Defence - Right-Back,right,10.50m,5,Horacio Gaggioli,http://www.transfermarkt.co.uk//pablo-zabaleta/profil/spieler/20007
James Philip Milner,30,England,Midfield - Central Midfield,right,10.50m,7,Jason Ferguson,http://www.transfermarkt.co.uk//james-milner/profil/spieler/3333
Charles Austin,26,England,Striker - Centre Forward,right,9.75m,28,Soccertalents,http://www.transfermarkt.co.uk//charlie-austin/profil/spieler/129627
El Hadji Baye Oumar Niasse,26,Senegal,Striker - Centre Forward,right,9.75m,14,BURAK SALLAK,http://www.transfermarkt.co.uk//oumar-niasse/profil/spieler/209781
Kieran James Ricardo Gibbs,26,England,Defence - Left-Back,left,9.75m,3,SEM Group plc.,http://www.transfermarkt.co.uk//kieran-gibbs/profil/spieler/44792
Kevin Antonio Joel Gislain Mirallas y Castillo,28,Belgium,Midfield - Left Wing,right,9.75m,11,Christophe Henrotay,http://www.transfermarkt.co.uk//kevin-mirallas/profil/spieler/33639
Baba Abdul Rahman,21,Ghana,Defence - Left-Back,left,9.75m,6,SPOCS,http://www.transfermarkt.co.uk//abdul-rahman-baba/profil/spieler/224884
Kyle Andrew Walker,25,England,Defence - Right-Back,right,9.75m,2,Not clarified,http://www.transfermarkt.co.uk//kyle-walker/profil/spieler/95424
Fraser Gerard Forster,28,England,Goalkeeper,right,9.00m,44,not informed,http://www.transfermarkt.co.uk//fraser-forster/profil/spieler/52570
Gabriel Armando de Abreu,25,Brazil,Defence - Centre Back,right,9.00m,5,KICK & RUN SPORTS,http://www.transfermarkt.co.uk//gabriel-paulista/profil/spieler/149498
Daniel William John Ings,23,England,Striker - Centre Forward,right,9.00m,28,not informed,http://www.transfermarkt.co.uk//danny-ings/profil/spieler/134294
Ryan Dominic Bertrand,26,England,Defence - Left-Back,left,9.00m,21,Key Sports Managment Ltd.,http://www.transfermarkt.co.uk//ryan-bertrand/profil/spieler/40611
Odion Jude Ighalo,26,Nigeria,Striker - Centre Forward,right,9.00m,24,Emefie Aneke Atta,http://www.transfermarkt.co.uk//odion-ighalo/profil/spieler/62121
Jamie Richard Vardy,29,England,Striker - Centre Forward,right,9.00m,9,Key Sports Managment Ltd.,http://www.transfermarkt.co.uk//jamie-vardy/profil/spieler/197838
Bamidele Jermaine Alli,20,England,Midfield - Central Midfield,right,9.00m,20,GK Football,http://www.transfermarkt.co.uk//dele-alli/profil/spieler/207929
Simon Luc Hildebert Mignolet,28,Belgium,Goalkeeper,right,9.00m,22,Cherry Sports,http://www.transfermarkt.co.uk//simon-mignolet/profil/spieler/50219
Lucas Pezzini Leiva,29,Brazil,Midfield - Defensive Midfield,right,9.00m,21,Mondial Sport,http://www.transfermarkt.co.uk//lucas-leiva/profil/spieler/41414
Daniel Lee Rose,25,England,Defence - Left-Back,left,8.25m,3,No agent,http://www.transfermarkt.co.uk//danny-rose/profil/spieler/50174
Enner Remberto Valencia Lastra,26,Ecuador,Striker - Centre Forward,right,8.25m,11,Not clarified,http://www.transfermarkt.co.uk//enner-valencia/profil/spieler/139503
Ryan James Shawcross,28,England,Defence - Centre Back,right,8.25m,17,not informed,http://www.transfermarkt.co.uk//ryan-shawcross/profil/spieler/45861
James Michael Edward Ward-Prowse,21,England,Midfield - Central Midfield,right,8.25m,16,not informed,http://www.transfermarkt.co.uk//james-ward-prowse/profil/spieler/181579
Jeremain Marciano Lens,28,Netherlands,Striker - Left Wing,right,8.25m,17,SEG,http://www.transfermarkt.co.uk//jeremain-lens/profil/spieler/38497
Shane Patrick Long,29,Ireland,Striker - Centre Forward,both,7.50m,7,Not clarified,http://www.transfermarkt.co.uk//shane-long/profil/spieler/37304
Chancel Mbemba Mangulu,21,Congo DR,Defence - Centre Back,right,7.50m,18,not informed,http://www.transfermarkt.co.uk//chancel-mbemba/profil/spieler/203348
Clinton Mua N'Jie,22,Cameroon,Striker - Centre Forward,right,7.50m,14,DM Football Advice International,http://www.transfermarkt.co.uk//clinton-njie/profil/spieler/241119
Jordan Kevin Amavi,22,France,Defence - Left-Back,left,7.50m,23,GROUPE USM,http://www.transfermarkt.co.uk//jordan-amavi/profil/spieler/241229
Aaron William Cresswell,26,England,Defence - Left-Back,left,7.50m,3,not informed,http://www.transfermarkt.co.uk//aaron-cresswell/profil/spieler/92571
Emmanuel Chinenye Emenike,29,Nigeria,Striker - Centre Forward,right,7.50m,29,Foot & Ball,http://www.transfermarkt.co.uk//emmanuel-emenike/profil/spieler/120630
Andrew Thomas Carroll,27,England,Striker - Centre Forward,left,7.50m,9,Mark Curtis,http://www.transfermarkt.co.uk//andy-carroll/profil/spieler/48066
John Michael Nchekwube Obinna,29,Nigeria,Midfield - Defensive Midfield,right,7.50m,12,John Shittu,http://www.transfermarkt.co.uk//john-obi-mikel/profil/spieler/30739
Ashley Simon Young,30,England,Midfield - Left Wing,both,7.50m,18,firsteleven ISM,http://www.transfermarkt.co.uk//ashley-young/profil/spieler/14086
