,name,img_url,position,mkt_value,age,season,from_,to,transf_val
86,Dani Alves,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_15951_131_2013_08_13_1.jpg?lm=0,Secondary Striker,£37.50m,18,04/05,Everton,Manchester Utd.,£27.75m
87,Xabi Alonso,http://akacdn.transfermarkt.de/images/portrait/medium/7476-1437472580.jpg?lm=1437472670,Centre Forward,£37.50m,26,04/05,Marseille,Chelsea FC,£27.75m
88,Lucas,http://akacdn.transfermarkt.de/images/portrait/medium/77100-1454602060.jpg?lm=1454602053,Centre Forward,£37.50m,27,01/02,Juventus,AC Milan,£27.75m
89,Dimitar Berbatov,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_65_162_2014_05_16_1.jpg?lm=0,Centre Forward,£37.50m,24,10/11,VfL Wolfsburg,Manchester City,£27.75m
90,Fernando Torres,http://akacdn.transfermarkt.de/images/portrait/medium/7767-1447152963.jpg?lm=1447153015,Central Midfield,£37.50m,28,15/16,Juventus,Bayern Munich ,£27.75m
91,Diego Costa,http://akacdn.transfermarkt.de/images/portrait/medium/44779-1453805669.jpg?lm=1453805698,Attacking Midfield,£37.50m,21,13/14,Bor. Dortmund,Bayern Munich ,£27.75m
92,Luke Shaw,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_183288_180_2013_02_11_1.jpg?lm=0,Centre Forward,£37.50m,27,02/03,Lazio,Inter,£27.00m
93,Wayne Rooney,http://akacdn.transfermarkt.de/images/portrait/medium/3332-1406462596.jpg?lm=1433144358,Right Wing,£37.50m,23,07/08,Chelsea FC,Real Madrid,£27.00m
94,Filippo Inzaghi,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_5821_123_2012_1.jpg?lm=0,Attacking Midfield,£37.50m,21,15/16,FC Schalke 04,VfL Wolfsburg,£27.00m
95,Arturo Vidal,http://akacdn.transfermarkt.de/images/portrait/medium/37666-1416219674.jpg?lm=1433144479,Central Midfield,£37.50m,24,14/15,Athletic Bilbao,Manchester Utd.,£27.00m
96,Hernán Crespo,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_3410_123_2014_02_25_1.jpg?lm=0,Secondary Striker,£37.50m,19,01/02,River Plate,FC Barcelona,£26.93m
97,Julian Draxler,http://akacdn.transfermarkt.de/images/portrait/medium/85148-1438007925.jpg?lm=1438007946,Right-Back,£37.50m,25,08/09,Sevilla FC,FC Barcelona,£26.63m
98,Javier Saviola,http://akacdn.transfermarkt.de/images/portrait/medium/7611-1419947564.jpg?lm=1433144942,Right Wing,£37.50m,25,13/14,Anzhi,Chelsea FC,£26.63m
99,Willian,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_52769_631_2014_02_10_1.jpg?lm=0,Defensive Midfield,£37.50m,27,09/10,Liverpool,Real Madrid,£26.55m
100,Geoffrey Kondogbia,http://akacdn.transfermarkt.de/images/portrait/medium/127189-1448967404.jpg?lm=1448967421,Central Midfield,£37.50m,22,15/16,Monaco,Inter,£23.25m
101,Alessandro Nesta,http://akacdn.transfermarkt.de/images/portrait/medium/4171-1455621203.jpg?lm=1455621215,Centre Forward,£37.50m,29,12/13,Arsenal FC,Manchester Utd.,£23.03m
102,Mario Gómez,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_6288_430_2013_12_19_1.jpg?lm=0,Centre Back,£37.50m,26,02/03,Lazio,AC Milan,£22.88m
103,Yaya Touré,http://akacdn.transfermarkt.de/images/portrait/medium/13091-1454413506.jpg?lm=1454413509,Central Midfield,£37.50m,24,99/00,Parma,Lazio,£22.50m
104,Pepe,http://akacdn.transfermarkt.de/images/portrait/medium/14132-1413206357.jpg?lm=1433143644,Centre Forward,£37.50m,23,09/10,VfB Stuttgart,Bayern Munich ,£22.50m
105,Luka Modric,http://akacdn.transfermarkt.de/images/portrait/medium/27992-1413206775.jpg?lm=1433144198,Centre Back,£37.50m,26,04/05,FC Porto,Chelsea FC,£22.50m
106,Roberto Soldado,http://akacdn.transfermarkt.de/images/portrait/medium/34870-1447255459.jpg?lm=1447255515,Central Midfield,£37.50m,27,10/11,FC Barcelona,Manchester City,£22.50m
107,Isco,http://akacdn.transfermarkt.de/images/portrait/medium/85288-1413206942.jpg?lm=1433145017,Attacking Midfield,£37.50m,25,08/09,Dinamo Moscow,Zenit S-Pb,£22.50m
108,Érik Lamela,http://akacdn.transfermarkt.de/images/portrait/medium/111630-1454586368.jpg?lm=1454586386,Centre Back,£37.50m,24,07/08,FC Porto,Real Madrid,£22.50m
109,Antoine Griezmann,http://akacdn.transfermarkt.de/images/portrait/medium/125781-1447152648.jpg?lm=1447152679,Keeper,£37.50m,25,11/12,FC Schalke 04,Bayern Munich ,£22.50m
110,Mario Balotelli,http://akacdn.transfermarkt.de/images/portrait/medium/45146-1416323511.jpg?lm=1433144604,Central Midfield,£37.50m,26,12/13,Spurs,Real Madrid,£22.50m
111,Emmanuel Adebayor,http://akacdn.transfermarkt.de/images/portrait/medium/8883-1453892705.jpg?lm=1453892678,Left-Back,£37.50m,23,11/12,Benfica,Real Madrid,£22.50m
112,David Silva,http://akacdn.transfermarkt.de/images/portrait/medium/35518-1454077630.jpg?lm=1454077659,Centre Forward,£37.50m,28,13/14,Valencia CF,Spurs,£22.50m
113,Robin van Persie,http://akacdn.transfermarkt.de/images/portrait/medium/4380-1441144502.jpg?lm=1441144520,Left Wing,£37.50m,24,15/16,Shakhtar D.,Bayern Munich ,£22.50m
114,Juan Sebastián Verón,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_3143_123_2013_06_11_1.jpg?lm=0,Attacking Midfield,£37.50m,21,13/14,Málaga CF,Real Madrid,£22.50m
115,Ricardo Carvalho,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_9828_418_2012_1.jpg?lm=0,Left Wing,£37.50m,23,15/16,Bay. Leverkusen,Spurs,£22.50m
116,Danny,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_14119_964_2013_10_02_1.jpg?lm=0,Right Wing,£37.50m,21,13/14,AS Roma,Spurs,£22.50m
