Genoa CFC,Italy,,http://www.transfermarkt.co.uk//genoa-cfc/startseite/verein/252
Sunderland AFC,England,,http://www.transfermarkt.co.uk//sunderland-afc/startseite/verein/289
Celta de Vigo,Spain,,http://www.transfermarkt.co.uk//celta-de-vigo/startseite/verein/940
Torino FC,Italy,,http://www.transfermarkt.co.uk//torino-fc/startseite/verein/416
Trabzonspor,Turkey,,http://www.transfermarkt.co.uk//trabzonspor/startseite/verein/449
Lokomotiv Moscow,Russia,,http://www.transfermarkt.co.uk//lokomotiv-moscow/startseite/verein/932
VfB Stuttgart,Germany,,http://www.transfermarkt.co.uk//vfb-stuttgart/startseite/verein/79
Udinese Calcio,Italy,,http://www.transfermarkt.co.uk//udinese-calcio/startseite/verein/410
FC Girondins Bordeaux,France,,http://www.transfermarkt.co.uk//fc-girondins-bordeaux/startseite/verein/40
Sociedade Esportiva Palmeiras,Brazil,,http://www.transfermarkt.co.uk//sociedade-esportiva-palmeiras/startseite/verein/1023
Eintracht Frankfurt,Germany,,http://www.transfermarkt.co.uk//eintracht-frankfurt/startseite/verein/24
1.FSV Mainz 05,Germany,,http://www.transfermarkt.co.uk//1-fsv-mainz-05/startseite/verein/39
Bologna FC 1909,Italy,,http://www.transfermarkt.co.uk//bologna-fc-1909/startseite/verein/1025
Hertha BSC,Germany,,http://www.transfermarkt.co.uk//hertha-bsc/startseite/verein/44
Stade Rennais FC,France,,http://www.transfermarkt.co.uk//stade-rennais-fc/startseite/verein/273
Club Brugge KV,Belgium,,http://www.transfermarkt.co.uk//club-brugge-kv/startseite/verein/2282
Hull City,England,,http://www.transfermarkt.co.uk//hull-city/startseite/verein/3008
Spartak Moscow,Russia,,http://www.transfermarkt.co.uk//spartak-moscow/startseite/verein/232
Feyenoord Rotterdam,Netherlands,,http://www.transfermarkt.co.uk//feyenoord-rotterdam/startseite/verein/234
KAA Gent,Belgium,,http://www.transfermarkt.co.uk//kaa-gent/startseite/verein/157
Cruzeiro Esporte Clube,Brazil,,http://www.transfermarkt.co.uk//cruzeiro-esporte-clube/startseite/verein/609
FC Empoli,Italy,,http://www.transfermarkt.co.uk//fc-empoli/startseite/verein/749
LOSC Lille,France,,http://www.transfermarkt.co.uk//losc-lille/startseite/verein/1082
Sport Club Corinthians Paulista,Brazil,,http://www.transfermarkt.co.uk//sport-club-corinthians-paulista/startseite/verein/199
FC Basel 1893,Switzerland,,http://www.transfermarkt.co.uk//fc-basel-1893/startseite/verein/26
Sport Club Internacional,Brazil,,http://www.transfermarkt.co.uk//sport-club-internacional/startseite/verein/6600
Atalanta BC,Italy,,http://www.transfermarkt.co.uk//atalanta-bc/startseite/verein/800
OGC Nice,France,,http://www.transfermarkt.co.uk//ogc-nice/startseite/verein/417
Granada CF,Spain,,http://www.transfermarkt.co.uk//granada-cf/startseite/verein/16795
SV Werder Bremen,Germany,,http://www.transfermarkt.co.uk//sv-werder-bremen/startseite/verein/86
SC Braga,Portugal,,http://www.transfermarkt.co.uk//sc-braga/startseite/verein/1075
